Twin 1,Twin 2
132826223770551432707387552282921255754011643808567755475543697209343094913696121559132698625377792597846948612023441235473766356996912720199,132826223770551432707387552282921255754011643808567755475543697209343094913696121559132698625377792597846948612023441235473766356996912720201
6295687922828755111505036335350709993512258993003431143774993494503790094866475489461791119313209841165109586505685030511560573734523787674449,6295687922828755111505036335350709993512258993003431143774993494503790094866475489461791119313209841165109586505685030511560573734523787674451
6693697427729916881018734907438662814423514448450218747015094015772759690496801191229443456049771633349003406228133607369033967037377566567199,6693697427729916881018734907438662814423514448450218747015094015772759690496801191229443456049771633349003406228133607369033967037377566567201
44226116043973745439515708157770261124335235298940041251592378149179766238076500006540830140681539519718346454742773407412475050589892140578049,44226116043973745439515708157770261124335235298940041251592378149179766238076500006540830140681539519718346454742773407412475050589892140578051
75704311049988973610330494029648516495935867460241693932395735666212369353128907176606243076499606958687582689895720555202877729075704630101249,75704311049988973610330494029648516495935867460241693932395735666212369353128907176606243076499606958687582689895720555202877729075704630101251
94480154309403266521902356412402762647539144048216048610373605897767504277248733487173596131061821965352399344392153675776712318783150332841799,94480154309403266521902356412402762647539144048216048610373605897767504277248733487173596131061821965352399344392153675776712318783150332841801
113705186312155611310935157656152911263429731236243179004836787500956384968970371539825568393286685491858588402270474305115046979731330251531249,113705186312155611310935157656152911263429731236243179004836787500956384968970371539825568393286685491858588402270474305115046979731330251531251
184005766965109894775775219570715528462739089612627642997696225551446519332809665828075130899281677866490773074749853935325401908880584040489799,184005766965109894775775219570715528462739089612627642997696225551446519332809665828075130899281677866490773074749853935325401908880584040489801
195983565375137547905050975989229210552568565222892433736864997477626747301131272022307022170187866532676373386875716726279583694811678210270049,195983565375137547905050975989229210552568565222892433736864997477626747301131272022307022170187866532676373386875716726279583694811678210270051
197556596140163266901019276587271245035335854428097872666883904660976617765831933614059726403274546899790351197572630007521331342031903693964049,197556596140163266901019276587271245035335854428097872666883904660976617765831933614059726403274546899790351197572630007521331342031903693964051
257023137922392234351657107145212021313076242783876825365283357562587687113261789050674603908627143701006265569569029171380600334309351817497799,257023137922392234351657107145212021313076242783876825365283357562587687113261789050674603908627143701006265569569029171380600334309351817497801
494513526816319511432603490513553292291748091305623698442018209520161515560599331276320568334068361170266226782908407716033426752668011064201249,494513526816319511432603490513553292291748091305623698442018209520161515560599331276320568334068361170266226782908407716033426752668011064201251
499782109217347110196119007682539949495551346723520290805694337795615471044760448198462194885077410371399114363509417580768759226923351322400799,499782109217347110196119007682539949495551346723520290805694337795615471044760448198462194885077410371399114363509417580768759226923351322400801
734828357650951617470940646716945795038824023614799135140537163061115577543075637893368021466799699853910214306162705079410203319027592918652449,734828357650951617470940646716945795038824023614799135140537163061115577543075637893368021466799699853910214306162705079410203319027592918652451
1000668632155024312287600005387030911051723470675117634669890300348334723250366369308150438872235054878286732924756960391423718137120009573634449,1000668632155024312287600005387030911051723470675117634669890300348334723250366369308150438872235054878286732924756960391423718137120009573634451
1030019682795436902033113148023363714756487487916081523619242782011108874019678560941845130643833450617804686592933443261604702991768181370330449,1030019682795436902033113148023363714756487487916081523619242782011108874019678560941845130643833450617804686592933443261604702991768181370330451
1196816149135797736472015618722674791283761862008043793236195373891777833363315096336678530343111159438621467932842409952456157175829531515744799,1196816149135797736472015618722674791283761862008043793236195373891777833363315096336678530343111159438621467932842409952456157175829531515744801
1237333600944091734036721908966185457083923961124625550980455702187536205322168799921250364384789996064974359528864478979827529007403045148433799,1237333600944091734036721908966185457083923961124625550980455702187536205322168799921250364384789996064974359528864478979827529007403045148433801
1736541675033277934357978945181378324596511345922216482670951542478535329225186541103849953181423375468918849258039022159565599289708088837404999,1736541675033277934357978945181378324596511345922216482670951542478535329225186541103849953181423375468918849258039022159565599289708088837405001
1998949371689383792365578905046450286791657886895461685106584850162087436168434043116629148135373152977914509154005370275726586206187799169040449,1998949371689383792365578905046450286791657886895461685106584850162087436168434043116629148135373152977914509154005370275726586206187799169040451
2011682929017236461450728388429665157417653241460822501835201627178626464194067094427098502868117433437691348881808930747203945770928916528664199,2011682929017236461450728388429665157417653241460822501835201627178626464194067094427098502868117433437691348881808930747203945770928916528664201
