Number,Primes +1,Primes -1,Twins,Is Prime
50000,6109,6007,533,false
50001,4273,4238,679,false
50002,5056,5149,355,false
50003,2493,2477,145,false
50004,7251,7272,953,false
50005,3218,3073,292,false
50006,5269,5388,390,false
50007,3717,3669,488,false
50008,6165,6155,518,false
50009,2488,2471,172,false
50010,9100,9165,1571,false
50011,2594,2632,179,false
50012,4822,4824,292,false
50013,3645,3661,446,false
50014,5155,5150,349,false
50015,3599,3526,373,false
50016,7312,7359,950,false
50017,2659,2650,191,false
50018,4882,5006,328,false
50019,3665,3656,460,false
50020,6379,6350,626,false
50021,2436,2446,153,true
50022,8503,8465,1283,false
50023,2459,2439,163,true
50024,5394,5385,382,false
50025,4885,4975,920,false
50026,4867,4905,348,false
50027,2569,2585,185,false
50028,8034,8040,1134,false
50029,2801,2805,206,false
50030,6061,6053,557,false
50031,3928,3885,538,false
50032,4977,4993,336,false
50033,2418,2407,147,true
50034,7604,7516,1004,false
50035,3020,2998,256,false
50036,5652,5640,436,false
50037,4005,3869,584,false
50038,4881,4995,303,false
50039,2681,2603,197,false
50040,9264,9160,1620,false
50041,2438,2480,146,false
50042,4875,4915,309,false
50043,4274,4242,631,false
50044,4907,4765,307,false
50045,3058,3016,259,false
50046,7705,7744,1106,false
50047,2394,2446,167,true
50048,5409,5457,425,false
50049,3773,3704,516,false
50050,8409,8523,1056,false
50051,2411,2458,147,true
50052,7519,7523,1005,false
50053,2436,2349,144,true
50054,5142,4946,325,false
50055,4675,4729,828,false
50056,4923,4903,325,false
50057,2851,2815,216,false
50058,7331,7352,948,false
50059,2377,2484,150,false
50060,6096,6117,523,false
50061,4195,4182,604,false
50062,4878,4914,313,false
50063,2663,2630,167,false
50064,8569,8597,1370,false
50065,3578,3488,358,false
50066,4851,4874,321,false
50067,3636,3609,450,false
50068,4876,4839,318,false
50069,2439,2371,147,true
50070,9133,9042,1562,false
50071,3008,2946,241,false
50072,5375,5266,376,false
50073,3697,3574,435,false
50074,4840,4849,297,false
50075,3044,3025,239,false
50076,7928,7999,1195,false
50077,2451,2424,154,true
50078,5668,5762,470,false
50079,3722,3580,452,false
50080,6057,6151,526,false
50081,2482,2477,171,false
50082,7729,7747,1069,false
50083,2778,2775,214,false
50084,5159,5095,354,false
50085,5394,5471,1131,false
50086,4921,4945,351,false
50087,2410,2410,152,true
50088,7286,7297,935,false
50089,2609,2652,201,false
50090,6111,6074,512,false
50091,3674,3806,489,false
50092,5732,5620,444,false
50093,2439,2443,160,true
50094,8370,8366,1267,false
50095,3100,3169,267,false
50096,5105,5069,318,false
50097,3719,3652,482,false
50098,5033,5047,316,false
50099,3011,2986,250,false
50100,9076,9134,1535,false
50101,2402,2391,159,true
50102,5510,5549,409,false
50103,3874,3916,543,false
50104,4855,4801,298,false
50105,3355,3316,319,false
50106,8407,8493,1311,false
50107,2481,2518,195,false
50108,4786,4829,305,false
50109,3674,3610,476,false
50110,6110,6114,574,false
50111,2415,2449,144,true
50112,7594,7543,965,false
50113,2789,2799,210,false
50114,4883,4902,294,false
50115,4898,4966,905,false
50116,5756,5785,447,false
50117,2516,2562,151,false
50118,7297,7309,939,false
50119,2397,2410,140,true
50120,7072,7144,753,false
50121,3645,3614,477,false
50122,5159,5129,355,false
50123,2376,2448,148,true
50124,7292,7334,917,false
50125,3022,2996,244,false
50126,4968,4968,293,false
50127,4763,4843,831,false
50128,5302,5296,376,false
50129,2472,2417,146,true
50130,9097,9175,1566,false
50131,2379,2427,144,true
50132,5025,4998,330,false
50133,3832,3926,539,false
50134,5686,5685,425,false
50135,3162,3057,291,false
50136,7374,7287,959,false
50137,2522,2458,151,false
50138,5580,5622,418,false
50139,3654,3681,475,false
50140,6515,6353,553,false
50141,3294,3399,294,false
50142,7424,7505,958,false
50143,2472,2482,186,false
50144,4870,4838,323,false
50145,4540,4630,765,false
50146,4851,4869,301,false
50147,2456,2458,157,true
50148,8556,8640,1292,false
50149,2783,2790,215,false
50150,6557,6618,623,false
50151,3801,3717,478,false
50152,4865,4884,309,false
50153,2484,2393,151,true
50154,7859,7960,1158,false
50155,3558,3551,383,false
50156,4905,4851,330,false
50157,3622,3666,430,false
50158,5098,5089,373,false
50159,2379,2432,142,true
50160,10528,10617,2163,false
50161,2451,2446,157,false
50162,5710,5615,435,false
50163,3778,3812,503,false
50164,4765,4872,322,false
50165,3111,3088,260,false
50166,7317,7292,965,false
50167,2756,2835,215,false
50168,4865,4896,305,false
50169,4337,4266,685,false
50170,6349,6318,575,false
50171,2691,2702,184,false
50172,7563,7533,942,false
50173,2450,2485,157,false
50174,4826,4897,321,false
50175,4650,4633,802,false
50176,5579,5702,387,false
50177,2477,2445,170,true
50178,7365,7322,967,false
50179,2594,2576,171,false
50180,6588,6595,603,false
50181,3743,3710,483,false
50182,5242,5357,390,false
50183,2963,2912,228,false
50184,8007,7977,1130,false
50185,3014,3068,238,false
50186,5066,5042,376,false
50187,3655,3684,484,false
50188,4897,4835,327,false
50189,2516,2483,182,false
50190,10651,10754,2190,false
50191,2469,2484,159,false
50192,4864,4897,301,false
50193,4307,4360,674,false
50194,4855,4891,331,false
50195,3038,3065,273,false
50196,7491,7562,1000,false
50197,2910,2856,223,false
50198,5221,5084,345,false
50199,3861,3713,472,false
50200,6167,6161,545,false
50201,2637,2559,165,false
50202,7348,7309,953,false
50203,2399,2484,157,false
50204,6239,6341,502,false
50205,4544,4574,762,false
50206,5210,5240,370,false
50207,2400,2385,149,true
50208,7340,7379,968,false
50209,2735,2674,195,false
50210,6111,6079,518,false
50211,4253,4266,647,false
50212,4795,4840,290,false
50213,2459,2434,157,false
50214,7284,7348,940,false
50215,3414,3350,338,false
50216,4919,4816,306,false
50217,3854,3870,534,false
50218,6113,6014,512,false
50219,2653,2670,203,false
50220,9354,9615,1696,false
50221,2458,2406,149,true
50222,4824,4857,331,false
50223,3704,3657,490,false
50224,5004,5059,338,false
50225,3659,3569,385,false
50226,7988,8007,1173,false
50227,2394,2458,152,true
50228,5082,5003,337,false
50229,3682,3670,439,false
50230,6074,6212,555,false
50231,2447,2394,145,true
50232,9729,9746,1670,false
50233,2395,2463,166,false
50234,4866,4853,305,false
50235,4823,4880,895,false
50236,5128,5189,371,false
50237,2698,2724,210,false
50238,7225,7325,949,false
50239,2805,2835,219,false
50240,6137,6113,532,false
50241,3758,3606,477,false
50242,4896,4795,323,false
50243,2543,2532,159,false
50244,7632,7531,1021,false
50245,3263,3332,294,false
50246,5956,5828,513,false
50247,3709,3615,508,false
50248,5404,5369,390,false
50249,2415,2434,169,false
50250,9280,9318,1572,false
50251,2521,2497,186,false
50252,5225,5154,369,false
50253,4262,4262,662,false
50254,4936,4947,340,false
50255,3342,3371,326,false
50256,7323,7367,950,false
50257,2561,2533,168,false
50258,5317,5256,391,false
50259,4077,4006,582,false
50260,7320,7094,739,false
50261,2401,2451,146,true
50262,7339,7308,956,false
50263,2466,2446,147,true
50264,5010,4989,324,false
50265,4642,4578,820,false
50266,5012,5025,341,false
50267,2938,3023,238,false
50268,7586,7521,1015,false
50269,2610,2587,175,false
50270,6736,6782,633,false
50271,3980,3949,544,false
50272,4849,4873,322,false
50273,2431,2426,152,true
50274,9055,8983,1465,false
50275,3037,3089,270,false
50276,4942,4856,297,false
50277,3602,3644,468,false
50278,5141,5080,314,false
50279,2484,2446,161,false
50280,9223,9183,1560,false
50281,3172,3113,279,false
50282,5003,5022,345,false
50283,3789,3745,471,false
50284,5324,5268,372,false
50285,3115,3119,282,false
50286,8083,7994,1123,false
50287,2419,2435,150,true
50288,5659,5727,428,false
50289,3665,3645,478,false
50290,6365,6366,608,false
50291,2420,2489,161,true
50292,8171,8119,1172,false
50293,2539,2602,169,false
50294,4901,4900,299,false
50295,5389,5299,1101,false
50296,4830,4839,332,false
50297,2711,2705,182,false
50298,7434,7524,968,false
50299,2488,2459,177,false
50300,6096,6041,530,false
50301,3835,3868,525,false
50302,5690,5674,431,false
50303,2890,2904,202,false
50304,7372,7244,954,false
50305,3050,3085,258,false
50306,4865,4823,330,false
50307,3709,3817,505,false
50308,4916,4908,321,false
50309,2819,2811,217,false
50310,10121,10112,1880,false
50311,2438,2440,140,true
50312,5233,5158,374,false
50313,3811,3836,521,false
50314,5284,5416,399,false
50315,3138,3179,277,false
50316,8587,8474,1360,false
50317,2432,2488,152,false
50318,4942,4942,331,false
50319,3555,3723,487,false
50320,6739,6606,614,false
50321,2427,2428,149,true
50322,7287,7349,982,false
50323,3126,3160,255,false
50324,5136,5090,367,false
50325,5052,5143,1003,false
50326,4868,4826,305,false
50327,2489,2504,152,false
50328,7365,7355,895,false
50329,2497,2395,165,true
50330,7062,7198,751,false
50331,3931,3867,528,false
50332,4878,4834,326,false
50333,2451,2441,159,true
50334,7320,7262,906,false
50335,3028,3080,256,false
50336,5741,5821,457,false
50337,4616,4615,808,false
50338,4949,4927,332,false
50339,2481,2497,145,false
50340,9115,9206,1565,false
50341,2426,2417,154,true
50342,4873,4944,305,false
50343,3748,3739,502,false
50344,6052,6129,498,false
50345,2996,3024,269,false
50346,7318,7377,924,false
50347,2799,2819,208,false
50348,5041,5023,327,false
50349,3974,4017,583,false
50350,6600,6551,609,false
50351,2853,2817,225,false
50352,7350,7372,948,false
50353,2471,2550,169,false
50354,5189,5246,365,false
50355,4623,4557,728,false
50356,4848,4933,298,false
50357,2474,2511,158,false
50358,9429,9525,1666,false
50359,2461,2443,170,true
50360,6102,6145,506,false
50361,3690,3644,483,false
50362,5231,5316,375,false
50363,2474,2436,147,true
50364,7378,7349,954,false
50365,3574,3578,377,false
50366,4884,4861,317,false
50367,3773,3725,498,false
50368,4830,4931,332,false
50369,2906,2845,197,false
