Twin 1,Twin 2
132826223770551432707387552282921255754011643808567755475543697209343094913696121559132698625377792597846948612023441235473766356996912720199,132826223770551432707387552282921255754011643808567755475543697209343094913696121559132698625377792597846948612023441235473766356996912720201
6295687922828755111505036335350709993512258993003431143774993494503790094866475489461791119313209841165109586505685030511560573734523787674449,6295687922828755111505036335350709993512258993003431143774993494503790094866475489461791119313209841165109586505685030511560573734523787674451
6693697427729916881018734907438662814423514448450218747015094015772759690496801191229443456049771633349003406228133607369033967037377566567199,6693697427729916881018734907438662814423514448450218747015094015772759690496801191229443456049771633349003406228133607369033967037377566567201
44226116043973745439515708157770261124335235298940041251592378149179766238076500006540830140681539519718346454742773407412475050589892140578049,44226116043973745439515708157770261124335235298940041251592378149179766238076500006540830140681539519718346454742773407412475050589892140578051
75704311049988973610330494029648516495935867460241693932395735666212369353128907176606243076499606958687582689895720555202877729075704630101249,75704311049988973610330494029648516495935867460241693932395735666212369353128907176606243076499606958687582689895720555202877729075704630101251
94480154309403266521902356412402762647539144048216048610373605897767504277248733487173596131061821965352399344392153675776712318783150332841799,94480154309403266521902356412402762647539144048216048610373605897767504277248733487173596131061821965352399344392153675776712318783150332841801
113705186312155611310935157656152911263429731236243179004836787500956384968970371539825568393286685491858588402270474305115046979731330251531249,113705186312155611310935157656152911263429731236243179004836787500956384968970371539825568393286685491858588402270474305115046979731330251531251
184005766965109894775775219570715528462739089612627642997696225551446519332809665828075130899281677866490773074749853935325401908880584040489799,184005766965109894775775219570715528462739089612627642997696225551446519332809665828075130899281677866490773074749853935325401908880584040489801
195983565375137547905050975989229210552568565222892433736864997477626747301131272022307022170187866532676373386875716726279583694811678210270049,195983565375137547905050975989229210552568565222892433736864997477626747301131272022307022170187866532676373386875716726279583694811678210270051
197556596140163266901019276587271245035335854428097872666883904660976617765831933614059726403274546899790351197572630007521331342031903693964049,197556596140163266901019276587271245035335854428097872666883904660976617765831933614059726403274546899790351197572630007521331342031903693964051
257023137922392234351657107145212021313076242783876825365283357562587687113261789050674603908627143701006265569569029171380600334309351817497799,257023137922392234351657107145212021313076242783876825365283357562587687113261789050674603908627143701006265569569029171380600334309351817497801
494513526816319511432603490513553292291748091305623698442018209520161515560599331276320568334068361170266226782908407716033426752668011064201249,494513526816319511432603490513553292291748091305623698442018209520161515560599331276320568334068361170266226782908407716033426752668011064201251
499782109217347110196119007682539949495551346723520290805694337795615471044760448198462194885077410371399114363509417580768759226923351322400799,499782109217347110196119007682539949495551346723520290805694337795615471044760448198462194885077410371399114363509417580768759226923351322400801
